date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:27	540/540	---MCZ	200	added ('OK')	application/opensearchdescription+xml	date:Sun,%2026%20Apr%202026%2013:24:26%20GMT	https://www.youtube.com/opensearch?locale=en_US	youtube/www.youtube.com/opensearch97fa	(from https://www.youtube.com/)
13:24:27	1878/1878	---MC-	200	added ('OK')	application/manifest+json	date:Sun,%2026%20Apr%202026%2013:24:27%20GMT	https://www.youtube.com/manifest.webmanifest	youtube/www.youtube.com/manifest.webmanifest	(from https://www.youtube.com/)
13:24:34	4252/4252	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:24:28%20GMT	https://www.youtube.com/t/impressum?hl=de&gl=DE	youtube/www.youtube.com/t/impressumab02.html	(from https://www.youtube.com/)
13:24:35	219/219	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:28%20GMT	https://www.youtube.com/about/	youtube/www.youtube.com/about/index.html	(from https://www.youtube.com/)
13:24:35	218/218	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:28%20GMT	https://www.youtube.com/about/press/	youtube/www.youtube.com/about/press/index.html	(from https://www.youtube.com/)
13:24:36	3339872/3339872	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Apr%202026%2005:16:04%20GMT	https://www.youtube.com/s/_/ytmainappweb/_/ss/k=ytmainappweb.kevlar_base.whc3qmTGT1w.L.X.O/am=AAAAAQAEggk/d=0/rs=AGKMywFGrhHS8789_VNUjeaB1JNaGCqpyA	youtube/www.youtube.com/s/_/ytmainappweb/_/ss/k=ytmainappweb.kevlar_base.whc3qmTGT1w.L.X.O/am=AAAAAQAEggk/d=0/rs=AGKMywFGrhHS8789_VNUjeaB1JNaGCqpyA.css	(from https://www.youtube.com/)
13:24:36	40280/40280	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:24:34%20GMT	https://www.youtube.com/t/terms	youtube/www.youtube.com/t/terms.html	(from https://www.youtube.com/)
13:24:36	256/256	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:36%20GMT	https://www.youtube.com/about/copyright/	youtube/www.youtube.com/about/copyright/index.html	(from https://www.youtube.com/)
13:24:36	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Sun,%2026%20Apr%202026%2013:24:36%20GMT	https://www.youtube.com/t/privacy	youtube/www.youtube.com/t/privacy.15.delayed	(from https://www.youtube.com/)
13:24:37	294/294	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202026%2003:38:00%20GMT	https://www.youtube.com/ads/	youtube/www.youtube.com/ads/index.html	(from https://www.youtube.com/)
13:24:37	155969/155969	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:24:37%20GMT	https://www.youtube.com/creators/	youtube/www.youtube.com/creators/index.html	(from https://www.youtube.com/)
13:24:37	7005/7005	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:24:37%20GMT	https://www.youtube.com/t/contact_us/	youtube/www.youtube.com/t/contact_us/index.html	(from https://www.youtube.com/)
13:24:37	439/439	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:37%20GMT	https://www.youtube.com/howyoutubeworks?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen	youtube/www.youtube.com/howyoutubeworks.16d320.delayed	(from https://www.youtube.com/)
13:24:38	44946/44946	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:24:38%20GMT	https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen	youtube/www.youtube.com/howyoutubeworks/indexd320.html	(from https://www.youtube.com/)
13:24:38	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:38%20GMT	https://www.youtube.com/about/policies/	youtube/www.youtube.com/about/policies/index.html	(from https://www.youtube.com/)
13:24:38	0/0	---M--	302	error ('Found')	application/binary	date:Sun,%2026%20Apr%202026%2013:24:38%20GMT	https://www.youtube.com/new	youtube/www.youtube.com/new.17.delayed	(from https://www.youtube.com/)
13:24:40	8539/8539	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Apr%202026%2022:49:50%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/cssbin/www-main-desktop-watch-page-skeleton.css	youtube/www.youtube.com/s/desktop/40cd5ddc/cssbin/www-main-desktop-watch-page-skeleton.css	(from https://www.youtube.com/)
13:24:41	9342645/9342645	---M--	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2009:16:11%20GMT	https://www.youtube.com/s/_/ytmainappweb/_/js/k=ytmainappweb.kevlar_base.en_US.d5Q_Sh18DeQ.es5.O/am=AAAAAQAAAgk/d=1/rs=AGKMywG-sO5mZm982kt19lbC102uER1KLQ/m=kevlar_base_module,kevlar_main_module	youtube/www.youtube.com/s/_/ytmainappweb/_/js/k=ytmainappweb.kevlar_base.en_US.d5Q_Sh18DeQ.es5.O/am=AAAAAQAAAgk/d=1/rs=AGKMywG-sO5mZm982kt19lbC102uER1KLQ/m=kevlar_base_module,kevlar_main_module	(from https://www.youtube.com/)
13:24:41	0/0	---M--	302	error ('Found')	application/binary	date:Sun,%2026%20Apr%202026%2013:24:41%20GMT	https://www.youtube.com/android-app:/com.google.android.youtube/http/www.youtube.com	youtube/www.youtube.com/android-app_/com.google.android.youtube/http/www.youtube.1a.delayed	(from https://www.youtube.com/android-app://com.google.android.youtube/http/www.youtube.com/)
13:24:42	0/-1	---M--	302	error ('')			https://www.youtube.com/android-app:/com.google.android.youtube/http/www.youtube.com	youtube/www.youtube.com/android-app_/com.google.android.youtube/http/www.youtube.1b.delayed	(from https://www.youtube.com/android-app://com.google.android.youtube/http/www.youtube.com/)
13:24:42	0/0	---M--	302	error ('Found')	application/binary	date:Sun,%2026%20Apr%202026%2013:24:42%20GMT	https://www.youtube.com/ios-app:/544007664/vnd.youtube/www.youtube.com	youtube/www.youtube.com/ios-app_/544007664/vnd.youtube/www.youtube.1c.delayed	(from https://www.youtube.com/ios-app://544007664/vnd.youtube/www.youtube.com/)
13:24:43	0/-1	---M--	302	error ('')			https://www.youtube.com/ios-app:/544007664/vnd.youtube/www.youtube.com	youtube/www.youtube.com/ios-app_/544007664/vnd.youtube/www.youtube.1d.delayed	(from https://www.youtube.com/ios-app://544007664/vnd.youtube/www.youtube.com/)
13:24:43	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:43%20GMT	https://www.youtube.com/howyoutubeworks/policies/copyright/	youtube/www.youtube.com/howyoutubeworks/policies/copyright/index.html	(from https://www.youtube.com/about/copyright/)
13:24:43	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Fri,%2013%20Sep%202019%2017:15:00%20GMT	https://www.youtube.com/img/favicon.ico	youtube/www.youtube.com/img/favicon.ico	(from https://www.youtube.com/t/contact_us/)
13:24:44	348/348	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202019%2017:15:00%20GMT	https://www.youtube.com/img/favicon_32.png	youtube/www.youtube.com/img/favicon_32.png	(from https://www.youtube.com/t/contact_us/)
13:24:46	15279/15279	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202019%2017:15:00%20GMT	https://www.youtube.com/img/favicon_48.png	youtube/www.youtube.com/img/favicon_48.png	(from https://www.youtube.com/t/contact_us/)
13:24:47	15346/15346	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Jun%202023%2002:58:00%20GMT	https://www.youtube.com/img/favicon_96.png	youtube/www.youtube.com/img/favicon_96.png	(from https://www.youtube.com/t/contact_us/)
13:24:48	16275/16275	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Jun%202023%2002:58:00%20GMT	https://www.youtube.com/img/favicon_144.png	youtube/www.youtube.com/img/favicon_144.png	(from https://www.youtube.com/t/contact_us/)
13:24:48	9171/9171	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Oct%202019%2017:15:00%20GMT	https://www.youtube.com/img/desktop/supported_browsers/yt_logo_rgb_light.png	youtube/www.youtube.com/img/desktop/supported_browsers/yt_logo_rgb_light.png	(from https://www.youtube.com/t/contact_us/)
13:24:49	226/226	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:49%20GMT	https://www.youtube.com/yt/about	youtube/www.youtube.com/yt/about.24.delayed	(from https://www.youtube.com/t/contact_us/)
13:24:50	219/219	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:50%20GMT	https://www.youtube.com/about	youtube/www.youtube.com/about.25.delayed	(from https://www.youtube.com/t/contact_us/)
13:24:51	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Sun,%2026%20Apr%202026%2013:24:51%20GMT	https://www.youtube.com/t/community_guidelines	youtube/www.youtube.com/t/community_guidelines.26.delayed	(from https://www.youtube.com/t/contact_us/)
13:24:52	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:52%20GMT	https://www.youtube.com/yt/policyandsafety/communityguidelines.html	youtube/www.youtube.com/yt/policyandsafety/communityguidelines.27.delayed	(from https://www.youtube.com/t/contact_us/)
13:24:53	250/250	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:53%20GMT	https://www.youtube.com/howyoutubeworks/policies/community-guidelines/	youtube/www.youtube.com/howyoutubeworks/policies/community-guidelines/index.html	(from https://www.youtube.com/t/contact_us/)
13:24:53	225/225	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:53%20GMT	https://www.youtube.com/yt/jobs	youtube/www.youtube.com/yt/jobs.28.delayed	(from https://www.youtube.com/t/contact_us/)
13:24:54	226/226	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:54%20GMT	https://www.youtube.com/jobs	youtube/www.youtube.com/jobs.29.delayed	(from https://www.youtube.com/t/contact_us/)
13:24:55	54330/54330	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:24:55%20GMT	https://www.youtube.com/jobs/	youtube/www.youtube.com/jobs/index.html	(from https://www.youtube.com/t/contact_us/)
